Time	Avg. Solid Temp. [K]	
0.80754545	313.57742
0.80757576	313.57549
0.80760606	313.57355
0.80763636	313.57161
0.80766667	313.56968
0.80769697	313.56774
0.80772727	313.56581
0.80775758	313.56387
0.80778788	313.56194
0.80781818	313.56
0.80784848	313.55807
0.80787879	313.55613
0.80790909	313.5542
0.80793939	313.55227
0.8079697	313.55033
0.808	313.5484
0.8080303	313.54646
0.80806061	313.54453
0.80809091	313.5426
0.80812121	313.54067
0.80815152	313.53873
0.80818182	313.5368
0.80821212	313.53487
0.80824242	313.53294
0.80827273	313.531
0.80830303	313.52907
0.80833333	313.52714
0.80836364	313.52521
0.80839394	313.52328
0.80842424	313.52135
0.80845455	313.51942
0.80848485	313.51749
0.80851515	313.51556
0.80854545	313.51364
0.80857576	313.51171
0.80860606	313.50978
0.80863636	313.50785
0.80866667	313.50593
0.80869697	313.504
0.80872727	313.50207
0.80875758	313.50015
0.80878788	313.49822
0.80881818	313.4963
0.80884848	313.49437
0.80887879	313.49245
0.80890909	313.49052
0.80893939	313.4886
0.8089697	313.48668
0.809	313.48476
0.8090303	313.48283
0.80906061	313.48091
0.80909091	313.47899
0.80912121	313.47707
0.80915152	313.47515
0.80918182	313.47323
0.80921212	313.47131
0.80924242	313.46939
0.80927273	313.46747
0.80930303	313.46555
0.80933333	313.46364
0.80936364	313.46172
0.80939394	313.4598
0.80942424	313.45788
0.80945455	313.45597
0.80948485	313.45405
0.80951515	313.45213
0.80954545	313.45022
0.80957576	313.4483
0.80960606	313.44638
0.80963636	313.44447
0.80966667	313.44255
0.80969697	313.44064
0.80972727	313.43872
0.80975758	313.43681
0.80978788	313.43489
0.80981818	313.43298
0.80984848	313.43106
0.80987879	313.42915
0.80990909	313.42723
0.80993939	313.42532
0.8099697	313.42341
0.81	313.42149
0.8100303	313.41958
0.81006061	313.41766
0.81009091	313.41575
0.81012121	313.41384
0.81015152	313.41192
0.81018182	313.41001
0.81021212	313.4081
0.81024242	313.40619
0.81027273	313.40427
0.81030303	313.40236
0.81033333	313.40045
0.81036364	313.39854
0.81039394	313.39662
0.81042424	313.39471
0.81045455	313.3928
0.81048485	313.39089
0.81051515	313.38898
0.81054545	313.38707
0.81057576	313.38516
0.81060606	313.38325
0.81063636	313.38134
0.81066667	313.37943
0.81069697	313.37752
0.81072727	313.37561
0.81075758	313.3737
0.81078788	313.37179
0.81081818	313.36988
0.81084848	313.36797
0.81087879	313.36606
0.81090909	313.36416
0.81093939	313.36225
0.8109697	313.36034
0.811	313.35843
0.8110303	313.35653
0.81106061	313.35462
0.81109091	313.35272
0.81112121	313.35081
0.81115152	313.34891
0.81118182	313.347
0.81121212	313.3451
0.81124242	313.3432
0.81127273	313.34129
0.81130303	313.33939
0.81133333	313.33749
0.81136364	313.33559
0.81139394	313.33369
0.81142424	313.33178
0.81145455	313.32988
0.81148485	313.32798
0.81151515	313.32608
0.81154545	313.32419
0.81157576	313.32229
0.81160606	313.32039
0.81163636	313.31849
0.81166667	313.31659
0.81169697	313.31469
0.81172727	313.3128
0.81175758	313.3109
0.81178788	313.309
0.81181818	313.30711
0.81184848	313.30521
0.81187879	313.30332
0.81190909	313.30142
0.81193939	313.29953
0.8119697	313.29763
0.812	313.29574
0.8120303	313.29384
0.81206061	313.29195
0.81209091	313.29005
0.81212121	313.28816
0.81215152	313.28627
0.81218182	313.28437
0.81221212	313.28248
0.81224242	313.28059
0.81227273	313.2787
0.81230303	313.2768
0.81233333	313.27491
0.81236364	313.27302
0.81239394	313.27113
0.81242424	313.26923
0.81245455	313.26734
0.81248485	313.26545
0.81251515	313.26356
0.81254545	313.26167
0.81257576	313.25978
0.81260606	313.25789
0.81263636	313.25599
0.81266667	313.2541
0.81269697	313.25221
0.81272727	313.25032
0.81275758	313.24843
0.81278788	313.24654
0.81281818	313.24465
0.81284848	313.24276
0.81287879	313.24087
0.81290909	313.23898
0.81293939	313.23709
0.8129697	313.2352
0.813	313.23331
0.8130303	313.23142
0.81306061	313.22954
0.81309091	313.22765
0.81312121	313.22576
0.81315152	313.22387
0.81318182	313.22198
0.81321212	313.2201
0.81324242	313.21821
0.81327273	313.21632
0.81330303	313.21443
0.81333333	313.21255
0.81336364	313.21066
0.81339394	313.20878
0.81342424	313.20689
0.81345455	313.20501
0.81348485	313.20312
0.81351515	313.20124
0.81354545	313.19935
0.81357576	313.19747
0.81360606	313.19559
0.81363636	313.19371
0.81366667	313.19182
0.81369697	313.18994
0.81372727	313.18806
0.81375758	313.18618
0.81378788	313.1843
0.81381818	313.18242
0.81384848	313.18054
0.81387879	313.17866
0.81390909	313.17678
0.81393939	313.1749
0.8139697	313.17302
0.814	313.17115
0.8140303	313.16927
0.81406061	313.16739
0.81409091	313.16552
0.81412121	313.16364
0.81415152	313.16176
0.81418182	313.15989
0.81421212	313.15801
0.81424242	313.15614
0.81427273	313.15426
0.81430303	313.15239
0.81433333	313.15052
0.81436364	313.14864
0.81439394	313.14677
0.81442424	313.1449
0.81445455	313.14302
0.81448485	313.14115
0.81451515	313.13928
0.81454545	313.13741
0.81457576	313.13553
0.81460606	313.13366
0.81463636	313.13179
0.81466667	313.12992
0.81469697	313.12805
0.81472727	313.12618
0.81475758	313.12431
0.81478788	313.12244
0.81481818	313.12056
0.81484848	313.11869
0.81487879	313.11682
0.81490909	313.11495
0.81493939	313.11308
0.8149697	313.11121
0.815	313.10934
0.8150303	313.10747
0.81506061	313.1056
0.81509091	313.10374
0.81512121	313.10187
0.81515152	313.1
0.81518182	313.09813
0.81521212	313.09626
0.81524242	313.09439
0.81527273	313.09252
0.81530303	313.09065
0.81533333	313.08878
0.81536364	313.08692
0.81539394	313.08505
0.81542424	313.08318
0.81545455	313.08131
0.81548485	313.07945
0.81551515	313.07758
0.81554545	313.07571
0.81557576	313.07384
0.81560606	313.07198
0.81563636	313.07011
0.81566667	313.06825
0.81569697	313.06638
0.81572727	313.06452
0.81575758	313.06265
0.81578788	313.06079
0.81581818	313.05892
0.81584848	313.05706
0.81587879	313.05519
0.81590909	313.05333
0.81593939	313.05147
0.8159697	313.0496
0.816	313.04774
0.8160303	313.04588
0.81606061	313.04402
0.81609091	313.04216
0.81612121	313.0403
0.81615152	313.03844
0.81618182	313.03658
0.81621212	313.03472
0.81624242	313.03286
0.81627273	313.031
0.81630303	313.02914
0.81633333	313.02728
0.81636364	313.02542
0.81639394	313.02357
0.81642424	313.02171
0.81645455	313.01985
0.81648485	313.018
0.81651515	313.01614
0.81654545	313.01429
0.81657576	313.01243
0.81660606	313.01058
0.81663636	313.00872
0.81666667	313.00687
0.81669697	313.00502
0.81672727	313.00316
0.81675758	313.00131
0.81678788	312.99946
0.81681818	312.99761
0.81684848	312.99575
0.81687879	312.9939
0.81690909	312.99205
0.81693939	312.9902
0.8169697	312.98835
0.817	312.9865
0.8170303	312.98465
0.81706061	312.9828
0.81709091	312.98095
0.81712121	312.9791
0.81715152	312.97725
0.81718182	312.9754
0.81721212	312.97355
0.81724242	312.9717
0.81727273	312.96985
0.81730303	312.968
0.81733333	312.96615
0.81736364	312.9643
0.81739394	312.96245
0.81742424	312.96061
0.81745455	312.95876
0.81748485	312.95691
0.81751515	312.95506
0.81754545	312.95321
0.81757576	312.95137
0.81760606	312.94952
0.81763636	312.94767
0.81766667	312.94582
0.81769697	312.94398
0.81772727	312.94213
0.81775758	312.94028
0.81778788	312.93843
0.81781818	312.93659
0.81784848	312.93474
0.81787879	312.93289
0.81790909	312.93105
0.81793939	312.9292
0.8179697	312.92736
0.818	312.92551
0.8180303	312.92367
0.81806061	312.92182
0.81809091	312.91998
0.81812121	312.91813
0.81815152	312.91629
0.81818182	312.91444
0.81821212	312.9126
0.81824242	312.91075
0.81827273	312.90891
0.81830303	312.90707
0.81833333	312.90523
0.81836364	312.90338
0.81839394	312.90154
0.81842424	312.8997
0.81845455	312.89786
0.81848485	312.89602
0.81851515	312.89418
0.81854545	312.89234
0.81857576	312.8905
0.81860606	312.88866
0.81863636	312.88682
0.81866667	312.88498
0.81869697	312.88314
0.81872727	312.88131
0.81875758	312.87947
0.81878788	312.87763
0.81881818	312.8758
0.81884848	312.87396
0.81887879	312.87212
0.81890909	312.87029
0.81893939	312.86845
0.8189697	312.86662
0.819	312.86478
0.8190303	312.86295
0.81906061	312.86112
0.81909091	312.85928
0.81912121	312.85745
0.81915152	312.85562
0.81918182	312.85379
0.81921212	312.85196
0.81924242	312.85012
0.81927273	312.84829
0.81930303	312.84646
0.81933333	312.84463
0.81936364	312.8428
0.81939394	312.84097
0.81942424	312.83914
0.81945455	312.83731
0.81948485	312.83548
0.81951515	312.83365
0.81954545	312.83183
0.81957576	312.83
0.81960606	312.82817
0.81963636	312.82634
0.81966667	312.82451
0.81969697	312.82268
0.81972727	312.82086
